Food_ID,Food_Name,Category,Veg_NonVeg,Target_Mood,Calories,Cooking_Time_Min,Rating,Description
1,Dark Chocolate Ice Cream,Dessert,Veg,Sad,350,0,4.8,Rich in antioxidants and magnesium to boost serotonin levels and combat sadness.
2,Hot Masala Chai with Biscuits,Beverage,Veg,Stressed,120,10,4.9,"Soothes nerves, reduces cortisol levels, and relieves stress."
3,Warm Chicken Soup,Main Course,Non-Veg,Sick/Tired,250,30,4.6,Comforting warm broth rich in nutrients to aid recovery and boost energy.
4,Paneer Butter Masala & Naan,Main Course,Veg,Happy,650,35,4.7,"Rich, savory, and celebratory dish perfect for good times."
5,Loaded Cheese Nachos,Snack,Veg,Bored,500,15,4.4,Crunchy and savory comfort snack to beat boredom.
6,Fresh Fruit Smoothie Bowl,Breakfast,Veg,Energetic,280,10,4.5,"Packed with natural sugars, vitamins, and antioxidants for sustained energy."
7,Crispy French Fries,Snack,Veg,Stressed,380,20,4.3,Salty comfort snack that triggers quick dopamine release.
8,Spicy Ramen Noodles,Main Course,Non-Veg,Angry,450,15,4.6,Spicy flavor profile to satisfy high intensity emotional cravings.
9,Greek Yogurt Parfait,Breakfast,Veg,Happy,220,5,4.4,High protein snack with probiotics for brain-gut mood balance.
10,Grilled Salmon with Veggies,Main Course,Non-Veg,Energetic,420,25,4.8,Rich in Omega-3 fatty acids which support brain healthy and physical stamina.
11,Classic Cheese Pizza,Main Course,Veg,Bored,600,25,4.6,Classic comfort meal made for sharing during casual downtime.
12,Green Tea with Honey,Beverage,Veg,Stressed,40,5,4.2,Contains L-theanine which promotes relaxation without drowsiness.
13,Oatmeal with Nuts & Honey,Breakfast,Veg,Sick/Tired,290,10,4.3,"Slow-release complex carbohydrates for steady, soothing energy."
14,Avocado Toast,Breakfast,Veg,Energetic,230,10,4.5,Healthy fats and fiber for sustained physical performance.
15,Cold Brew Coffee,Beverage,Veg,Tired,15,5,4.4,Quick caffeine boost to enhance alertness and focus.
